"municipiouf";"2013";"2015";"2017"
"Engenheiro Caldas, MG";18;16;22
"Érico Cardoso, BA";6;12;22
"Extrema, MG";13;18;22
"Floraí, PR";3;26;22
"Gameleira de Goiás, GO";7;17;22
"Glória D'Oeste, MT";NA;NA;22
"Guaíra, PR";15;23;22
"Guaramiranga, CE";8;25;22
"Horizontina, RS";7;23;22
"Ibatiba, ES";22;21;22
"Igarapé, MG";9;22;22
"Itiquira, MT";18;27;22
"Jericó, PB";3;11;22
"José Bonifácio, SP";11;18;22
"Lindoeste, PR";14;11;22
"Luiziana, PR";6;17;22
"Madre de Deus, BA";11;22;22
"Malhada dos Bois, SE";NA;NA;22
"Manhumirim, MG";5;16;22
"Marcelino Vieira, RN";8;10;22
"Messias Targino, RN";5;12;22
"Mirangaba, BA";17;21;22
"Monsenhor Gil, PI";11;19;22
"Morada Nova de Minas, MG";12;29;22
"Morro do Chapéu do Piauí, PI";6;12;22
"Morros, MA";NA;12;22
"Nepomuceno, MG";8;18;22
"Nortelândia, MT";17;28;22
"Nossa Senhora dos Remédios, PI";NA;NA;22
"Nova Glória, GO";7;15;22
"Nova Petrópolis, RS";5;19;22
"Olivença, AL";8;17;22
"Paes Landim, PI";6;11;22
"Pariconha, AL";5;12;22
"Passa e Fica, RN";8;10;22
"Pato Bragado, PR";5;26;22
"Paulo Frontin, PR";9;21;22
"Pedra Grande, RN";6;24;22
"Pintópolis, MG";13;12;22
"Piraí do Sul, PR";14;25;22
"Pojuca, BA";6;14;22
"Porto de Pedras, AL";7;5;22
"Porto do Mangue, RN";3;3;22
"Presidente Sarney, MA";10;6;22
"Quatipuru, PA";15;16;22
"Quixelô, CE";13;16;22
"Rebouças, PR";9;26;22
"Reduto, MG";2;5;22
"Resplendor, MG";14;19;22
"Riachão das Neves, BA";NA;NA;22
"Rio Preto da Eva, AM";8;19;22
"Salgado de São Félix, PB";9;29;22
"Santa Maria do Oeste, PR";17;20;22
"Santa Maria do Tocantins, TO";8;17;22
"Santa Rosa do Tocantins, TO";19;12;22
"Santo Antônio dos Lopes, MA";NA;NA;22
"São Geraldo do Araguaia, PA";13;23;22
"São Gotardo, MG";14;19;22
"São João d'Aliança, GO";NA;NA;22
"São José dos Quatro Marcos, MT";NA;NA;22
"São Miguel do Araguaia, GO";10;32;22
"São Pedro do Sul, RS";19;16;22
"São Vicente Ferrer, PE";7;14;22
"Sapopema, PR";10;8;22
"Sete Quedas, MS";6;23;22
"Tamandaré, PE";9;19;22
"Teixeira Soares, PR";11;14;22
"Tremembé, SP";4;27;22
"Três Marias, MG";15;28;22
"Viçosa, MG";30;19;22
"Vilhena, RO";9;36;22
"Vitória do Jari, AP";6;13;22
"Acari, RN";5;26;21
"Alto Taquari, MT";18;23;21
"Angelim, PE";4;15;21
"Angical do Piauí, PI";9;13;21
"Anori, AM";5;5;21
"Ariranha, SP";15;27;21
"Arneiroz, CE";18;20;21
"Assunção do Piauí, PI";9;16;21
"Augusto Severo, RN";11;9;21
"Bandeirantes, MS";16;21;21
"Barra do Ouro, TO";8;9;21
"Barro Alto, GO";10;18;21
"Barro Preto, BA";NA;NA;21
"Belo Campo, BA";9;12;21
"Boa Vista do Tupim, BA";12;14;21
"Brejo dos Santos, PB";NA;NA;21
"Cajuru, SP";15;18;21
"Cantanhede, MA";11;16;21
"Canto do Buriti, PI";4;18;21
"Capitão Enéas, MG";12;10;21
"Capixaba, AC";8;14;21
"Caraá, RS";12;18;21
"Cariús, CE";15;22;21
"Carmo do Cajuru, MG";9;29;21
"Carmo do Rio Verde, GO";9;19;21
"Cláudia, MT";8;23;21
"Comendador Levy Gasparian, RJ";33;15;21
"Conceição, PB";5;23;21
"Condado, PE";7;19;21
"Croatá, CE";22;31;21
"Curiúva, PR";15;17;21
"Curral de Cima, PB";4;5;21
"Dom Basílio, BA";11;19;21
"Dom Feliciano, RS";7;22;21
"Feira Grande, AL";2;23;21
"Figueira, PR";9;21;21
"Francisco Santos, PI";5;16;21
"General Maynard, SE";3;3;21
"Glória do Goitá, PE";8;33;21
"Glória, BA";8;15;21
"Guaraniaçu, PR";12;27;21
"Ichu, BA";4;12;21
"Igarapé-Açu, PA";NA;NA;21
"Ilha Comprida, SP";8;7;21
"Inajá, PR";16;12;21
"Inhuma, PI";15;26;21
"Itaguaru, GO";8;21;21
"Itajá, RN";16;10;21
"Itinga, MG";5;31;21
"Japoatã, SE";6;21;21
"Jataizinho, PR";7;9;21
"Jundiá, AL";12;17;21
"Lagoa do Sítio, PI";7;18;21
"Lajedão, BA";18;21;21
"Maravilha, AL";6;14;21
"Maturéia, PB";5;14;21
"Mogeiro, PB";6;22;21
"Monte Alegre de Sergipe, SE";4;19;21
"Mutuípe, BA";20;42;21
"Nazaré, BA";18;32;21
"Nova Colinas, MA";6;14;21
"Nova Olinda, PB";9;7;21
"Olho d'Água, PB";NA;NA;21
"Orizona, GO";12;22;21
"Ouro Verde do Oeste, PR";14;13;21
"Pacaraima, RR";9;20;21
"Palmeiras de Goiás, GO";10;23;21
"Palmópolis, MG";8;NA;21
"Paranapanema, SP";11;23;21
"Parobé, RS";27;31;21
"Patos do Piauí, PI";19;18;21
"Pedra Mole, SE";5;5;21
"Peixe, TO";29;41;21
"Pereiro, CE";7;12;21
"Pinhalzinho, SC";17;30;21
"Pirpirituba, PB";9;24;21
"Pitangueiras, SP";16;19;21
"Ponta de Pedras, PA";6;32;21
"Ponto Chique, MG";13;11;21
"Presidente Dutra, BA";10;8;21
"Primavera, PA";3;16;21
"Quaraí, RS";9;16;21
"Raposa, MA";17;10;21
"Retirolândia, BA";8;9;21
"Ribeirópolis, SE";12;6;21
"Ronda Alta, RS";11;13;21
"Salesópolis, SP";5;20;21
"Salgadinho, PE";NA;6;21
"Santa Inês, PB";3;18;21
"Santa Isabel, SP";25;21;21
"Santa Rita de Cássia, BA";4;7;21
"Santo Antônio do Aventureiro, MG";9;13;21
"São Domingos do Capim, PA";18;22;21
"São Domingos do Prata, MG";8;15;21
"São Félix do Coribe, BA";9;11;21
"São Gonçalo do Sapucaí, MG";14;26;21
"São João do Soter, MA";5;20;21
"São Miguel do Aleixo, SE";8;9;21
"São Pedro dos Crentes, MA";NA;NA;21
"Serafina Corrêa, RS";12;21;21
"Serro, MG";21;23;21
"Sombrio, SC";4;7;21
"Taguatinga, TO";15;18;21
"Tapera, RS";16;18;21
"Tijucas, SC";15;24;21
"Trajano de Moraes, RJ";NA;4;21
"Tuparetama, PE";4;12;21
"Tupãssi, PR";7;13;21
"Ubaíra, BA";10;22;21
"Ubatã, BA";9;18;21
"Vargem Alta, ES";35;26;21
"Veredinha, MG";6;20;21
"Vertentes, PE";4;21;21
"Vicentina, MS";6;22;21
"Vicentinópolis, GO";23;28;21
"Vila Propício, GO";4;10;21
"Acarape, CE";NA;NA;20
"Angatuba, SP";11;16;20
"Araçoiaba, PE";6;6;20
"Assis Brasil, AC";7;11;20
"Bela Vista de Minas, MG";9;13;20
"Bento Fernandes, RN";7;11;20
"Boa Vista da Aparecida, PR";10;10;20
"Bodoquena, MS";20;27;20
"Bom Jesus das Selvas, MA";NA;NA;20
"Boninal, BA";14;18;20
"Branquinha, AL";5;17;20
"Brejo Grande, SE";7;16;20
"Caapiranga, AM";8;8;20
"Cachoeira Dourada, GO";9;11;20
"Cachoeira Paulista, SP";7;19;20
"Cacimbinhas, AL";8;9;20
"Cajazeirinhas, PB";9;15;20
"Campo Grande do Piauí, PI";7;17;20
"Campos Belos, GO";12;19;20
"Candeias do Jamari, RO";11;32;20
"Cândido Mendes, MA";10;14;20
"Capitão Leônidas Marques, PR";7;12;20
"Carlos Barbosa, RS";6;13;20
"Carnaubais, RN";5;13;20
"Castelândia, GO";7;22;20
"Cerro Grande do Sul, RS";11;22;20
"Chorozinho, CE";12;8;20
"Colíder, MT";14;26;20
"Colméia, TO";6;20;20
"Confresa, MT";25;24;20
"Coronel Bicaco, RS";7;6;20
"Coronel João Sá, BA";NA;NA;20
"Dom Aquino, MT";14;21;20
"Doutor Severiano, RN";5;6;20
"Elói Mendes, MG";7;23;20
"Estrela de Alagoas, AL";14;13;20
"Frederico Westphalen, RS";5;13;20
"Goianorte, TO";14;13;20
"Guadalupe, PI";11;12;20
"Guairaçá, PR";12;7;20
"Guarará, MG";8;19;20
"Guaxupé, MG";7;17;20
"Heliópolis, BA";3;8;20
"Iacri, SP";NA;5;20
"Ibateguara, AL";8;20;20
"Ibicoara, BA";10;24;20
"Icaraíma, PR";12;25;20
"Icém, SP";7;35;20
"Ipaussu, SP";8;16;20
"Ipiaçu, MG";11;17;20
"Itarantim, BA";11;20;20
"Janiópolis, PR";6;17;20
"Japorã, MS";6;14;20
"Japurá, AM";6;19;20
"Jaupaci, GO";4;7;20
"Joca Marques, PI";11;16;20
"Joselândia, MA";6;11;20
"Júlio Borges, PI";14;18;20
"Lago do Junco, MA";9;18;20
"Lajeado, TO";7;16;20
"Lorena, SP";8;24;20
"Matrinchã, GO";6;15;20
"Miguel Calmon, BA";12;22;20
"Minador do Negrão, AL";4;4;20
"Mirador, MA";9;23;20
"Monte Santo de Minas, MG";6;15;20
"Morro Cabeça no Tempo, PI";6;12;20
"Nova Cruz, RN";25;104;20
"Nova Olímpia, MT";11;16;20
"Nova Palmeira, PB";7;15;20
"Nova Ubiratã, MT";22;23;20
"Oliveira dos Brejinhos, BA";NA;NA;20
"Paraibano, MA";10;23;20
"Paranhos, MS";14;25;20
"Paratinga, BA";11;20;20
"Penha, SC";10;13;20
"Piçarra, PA";7;26;20
"Pilão Arcado, BA";9;26;20
"Pindorama do Tocantins, TO";16;13;20
"Pontal do Araguaia, MT";10;10;20
"Porto Vitória, PR";21;19;20
"Potirendaba, SP";6;10;20
"Prata do Piauí, PI";14;16;20
"Queimadas, PB";5;31;20
"Queiroz, SP";NA;9;20
"Rio Bonito do Iguaçu, PR";10;18;20
"Sabáudia, PR";9;20;20
"Santa Rita de Caldas, MG";6;13;20
"Santa Rita do Pardo, MS";10;13;20
"Santana do Mundaú, AL";10;13;20
"Santana dos Garrotes, PB";NA;NA;20
"Santo Antônio do Caiuá, PR";18;19;20
"Santo Antônio, RN";5;33;20
"São Francisco do Brejão, MA";9;12;20
"São Francisco, SE";4;8;20
"São João Batista, MA";5;16;20
"São João do Manhuaçu, MG";4;5;20
"São José da Coroa Grande, PE";1;23;20
"São José da Vitória, BA";6;10;20
"São Roberto, MA";12;18;20
"São Roque do Canaã, ES";11;15;20
"São Sebastião do Uatumã, AM";5;18;20
"Senador Georgino Avelino, RN";6;21;20
"Serra dos Aimorés, MG";NA;11;20
"Severiano Melo, RN";7;18;20
"Sobrado, PB";1;17;20
"Surubim, PE";9;28;20
"Tabocas do Brejo Velho, BA";8;20;20
"Tapurah, MT";18;22;20
"Tocantins, MG";6;8;20
"Urussanga, SC";NA;13;20
"Wanderlândia, TO";5;12;20
"Xangri-lá, RS";15;13;20
"Água Boa, MT";11;19;19
"Água Branca, AL";8;19;19
"Aguiarnópolis, TO";18;15;19
"Alto Paraíso, PR";NA;NA;19
"Amaral Ferrador, RS";8;16;19
"Apiacás, MT";18;18;19
"Araguapaz, GO";6;14;19
"Aruanã, GO";11;20;19
"Barrocas, BA";4;19;19
"Belém do Brejo do Cruz, PB";23;17;19
"Bonito de Santa Fé, PB";NA;NA;19
"Bonópolis, GO";4;5;19
"Cachoeirinha, PE";8;8;19
"Calumbi, PE";6;11;19
"Campestre, MG";5;17;19
"Campos Gerais, MG";13;21;19
"Canápolis, BA";20;17;19
"Capela do Alto Alegre, BA";8;23;19
"Carandaí, MG";6;21;19
"Casserengue, PB";3;14;19
"Castelo do Piauí, PI";14;16;19
"Castilho, SP";5;10;19
"Catolândia, BA";7;8;19
"Charqueada, SP";NA;6;19
"Chaval, CE";7;18;19
"Chorrochó, BA";8;5;19
"Conceição do Mato Dentro, MG";16;23;19
"Conde, PB";10;56;19
"Coronel Martins, SC";4;12;19
"Dário Meira, BA";6;17;19
"Divisópolis, MG";5;17;19
"Eldorado, SP";12;9;19
"Faxinal, PR";7;19;19
"Felixlândia, MG";21;15;19
"Ferros, MG";15;16;19
"Florânia, RN";12;17;19
"Fortuna, MA";8;13;19
"Francisco Dumont, MG";18;16;19
"Governador Dix-Sept Rosado, RN";NA;NA;19
"Governador Lindenberg, ES";6;22;19
"Grão Pará, SC";6;21;19
"Ibiá, MG";6;13;19
"Igaporã, BA";21;24;19
"Ipecaetá, BA";6;26;19
"Iracema, CE";8;15;19
"Itaju do Colônia, BA";6;22;19
"Itambaracá, PR";5;9;19
"Joanópolis, SP";15;13;19
"Lagoa Nova, RN";9;39;19
"Laranja da Terra, ES";11;20;19
"Lidianópolis, PR";7;17;19
"Lunardelli, PR";10;25;19
"Marechal Floriano, ES";21;17;19
"Marialva, PR";7;24;19
"Monsenhor Hipólito, PI";6;13;19
"Nazarezinho, PB";7;15;19
"Nonoai, RS";35;20;19
"Nossa Senhora de Lourdes, SE";11;18;19
"Nova Fátima, BA";5;25;19
"Novo Acordo, TO";8;9;19
"Novo Airão, AM";8;23;19
"Novo Oriente do Piauí, PI";4;15;19
"Pacaembu, SP";7;18;19
"Palmeirais, PI";6;11;19
"Palmital, SP";4;14;19
"Pedreira, SP";6;16;19
"Peixe-Boi, PA";NA;NA;19
"Pilões, RN";5;19;19
"Portalegre, RN";12;17;19
"Presidente Médici, MA";16;8;19
"Raul Soares, MG";13;18;19
"Riachão do Bacamarte, PB";5;9;19
"Riacho dos Cavalos, PB";NA;NA;19
"Riacho Frio, PI";16;26;19
"Rio do Pires, BA";24;20;19
"Rio Negro, MS";16;19;19
"Rodolfo Fernandes, RN";3;10;19
"Roteiro, AL";18;19;19
"Ruy Barbosa, RN";8;11;19
"Santa Cruz do Piauí, PI";7;14;19
"Santa Cruz dos Milagres, PI";NA;NA;19
"Santana do Cariri, CE";8;18;19
"Santo Antônio do Içá, AM";9;16;19
"Santo Antônio do Tauá, PA";11;22;19
"São Benedito do Sul, PE";6;27;19
"São Domingos do Norte, ES";16;17;19
"São Francisco do Pará, PA";18;16;19
"São Joaquim da Barra, SP";10;18;19
"São Miguel dos Milagres, AL";NA;NA;19
"São Rafael, RN";6;6;19
"Sarandi, RS";13;20;19
"Serrano do Maranhão, MA";10;13;19
"Silvanópolis, TO";9;12;19
"Sítio Novo, RN";9;12;19
"Soure, PA";13;23;19
"Tacuru, MS";13;23;19
"Teolândia, BA";12;16;19
"Terenos, MS";18;19;19
"Terra Santa, PA";3;8;19
"Tibagi, PR";6;6;19
"Torixoréu, MT";12;18;19
"Tracunhaém, PE";7;20;19
"Traipu, AL";10;26;19
"Tremedal, BA";10;5;19
"Vanini, RS";13;20;19
"Veranópolis, RS";5;25;19
"Vila Bela da Santíssima Trindade, MT";12;18;19
"Água Branca, PB";9;20;18
"Aguaí, SP";5;4;18
"Aiquara, BA";4;12;18
"Alagoa Grande, PB";19;14;18
"Alagoinha, PE";7;11;18
"Alcobaça, BA";35;21;18
"Almino Afonso, RN";5;10;18
"Alto Paraguai, MT";9;16;18
"Alvorada do Norte, GO";1;11;18
"América Dourada, BA";9;10;18
"Aparecida do Rio Negro, TO";10;12;18
"Aporá, BA";11;23;18
"Araçoiaba da Serra, SP";2;23;18
"Araguanã, MA";17;18;18
"Aroeiras, PB";6;13;18
"Bacabeira, MA";5;10;18
"Barra de Santana, PB";5;14;18
"Barra de Santo Antônio, AL";7;14;18
"Barra de São Miguel, PB";5;15;18
"Barro Duro, PI";8;15;18
"Berilo, MG";19;12;18
"Bertópolis, MG";3;10;18
"Bicas, MG";4;18;18
"Bom Sucesso, PB";12;14;18
"Cajazeiras do Piauí, PI";4;12;18
"Calmon, SC";16;13;18
"Campinaçu, GO";6;24;18
"Canela, RS";14;27;18
"Capinópolis, MG";4;6;18
"Caracol, PI";6;10;18
"Caravelas, BA";8;6;18
"Cardoso, SP";14;24;18
"Careiro, AM";20;22;18
"Cariré, CE";14;16;18
"Caseara, TO";10;16;18
"Caxingó, PI";5;21;18
"Cedro, PE";11;19;18
"Cerro Corá, RN";6;17;18
"Chapada Gaúcha, MG";9;10;18
"Cocalzinho de Goiás, GO";12;12;18
"Coluna, MG";13;17;18
"Crisólita, MG";15;15;18
"Crixás do Tocantins, TO";7;10;18
"Curral Novo do Piauí, PI";9;11;18
"Divinópolis de Goiás, GO";8;9;18
"Dores do Indaiá, MG";3;10;18
"Esperança, PB";3;7;18
"Espírito Santo, RN";6;16;18
"Feliz Deserto, AL";7;10;18
"Francisco Badaró, MG";6;11;18
"Frei Gaspar, MG";3;7;18
"Goiatins, TO";8;12;18
"Granjeiro, CE";10;10;18
"Guaribas, PI";8;17;18
"Ibema, PR";15;13;18
"Ibipitanga, BA";22;16;18
"Icapuí, CE";22;19;18
"Ilha de Itamaracá, PE";8;27;18
"Indiavaí, MT";14;15;18
"Irani, SC";8;20;18
"Isaías Coelho, PI";11;15;18
"Itabaiana, PB";5;36;18
"Itacoatiara, AM";19;45;18
"Itaiçaba, CE";6;8;18
"Itaitinga, CE";14;41;18
"Itápolis, SP";12;20;18
"Ivaté, PR";11;17;18
"Jatobá, PE";6;20;18
"Juruena, MT";8;14;18
"Lagoa de Dentro, PB";5;16;18
"Laje do Muriaé, RJ";9;20;18
"Laranjal Paulista, SP";11;8;18
"Luzinópolis, TO";7;11;18
"Macajuba, BA";12;7;18
"Macau, RN";3;12;18
"Mairipotaba, GO";4;6;18
"Mari, PB";7;21;18
"Matões do Norte, MA";17;13;18
"Minas Novas, MG";46;40;18
"Miraí, MG";16;19;18
"Montalvânia, MG";13;28;18
"Monteiro, PB";5;21;18
"Monteirópolis, AL";7;11;18
"Morro da Fumaça, SC";20;17;18
"Mucajaí, RR";11;15;18
"Mucugê, BA";8;16;18
"Mucurici, ES";13;21;18
"Muribeca, SE";11;16;18
"Muritiba, BA";8;19;18
"Nossa Senhora de Nazaré, PI";10;16;18
"Nova Bandeirantes, MT";5;7;18
"Novo Progresso, PA";7;19;18
"Padre Bernardo, GO";9;23;18
"Pão de Açúcar, AL";26;49;18
"Pedras de Maria da Cruz, MG";9;5;18
"Pedro Avelino, RN";12;20;18
"Pio XII, MA";NA;NA;18
"Piquet Carneiro, CE";17;19;18
"Pirapemas, MA";16;NA;18
"Poço Verde, SE";6;20;18
"Porto Walter, AC";12;13;18
"Porto Xavier, RS";8;17;18
"Ribeirão Branco, SP";1;10;18
"Ribeirão Grande, SP";15;25;18
"Rio Quente, GO";10;28;18
"Sales, SP";4;4;18
"Salto do Jacuí, RS";12;31;18
"Santa Bárbara de Goiás, GO";11;13;18
"Santa Cecília, PB";4;10;18
"Santa Luzia, MG";13;23;18
"Santa Mariana, PR";7;8;18
"Santa Rita do Passa Quatro, SP";9;32;18
"Santo Amaro das Brotas, SE";NA;5;18
"Santo Antônio das Missões, RS";NA;NA;18
"São Gabriel, BA";10;16;18
"São José do Campestre, RN";6;16;18
"São José do Ouro, RS";11;16;18
"São Luís Gonzaga do Maranhão, MA";12;21;18
"São Miguel do Gostoso, RN";5;10;18
"São Salvador do Tocantins, TO";11;11;18
"São Sebastião do Maranhão, MG";5;15;18
"Sapezal, MT";23;30;18
"Satuba, AL";4;14;18
"Senador Guiomard, AC";5;13;18
"Serra Branca, PB";8;14;18
"Serra Grande, PB";3;17;18
"Solidão, PE";4;22;18
"Taquara, RS";5;10;18
"Tavares, PB";4;15;18
"Tenório, PB";9;26;18
"Tururu, CE";12;18;18
"Vargem Grande do Sul, SP";6;18;18
"Vera Cruz, RS";9;19;18
"Vista Serrana, PB";6;16;18
"Wanderley, BA";12;13;18
"Xapuri, AC";10;12;18
"Abre Campo, MG";7;17;17
"Adolfo, SP";4;4;17
"Adrianópolis, PR";15;16;17
"Aguiar, PB";8;8;17
"Américo Brasiliense, SP";7;5;17
"Ângulo, PR";5;16;17
"Apuí, AM";5;15;17
"Arame, MA";5;17;17
"Aripuanã, MT";13;17;17
"Axixá, MA";7;14;17
"Babaçulândia, TO";9;NA;17
"Barra D'Alcântara, PI";NA;NA;17
"Barra do Corda, MA";8;31;17
"Barreira, CE";11;12;17
"Betânia do Piauí, PI";8;10;17
"Biritiba-Mirim, SP";NA;NA;17
"Bocaina, SP";4;10;17
"Brasnorte, MT";10;20;17
"Brejolândia, BA";6;15;17
"Buenos Aires, PE";5;16;17
"Buritirana, MA";11;28;17
"Cachoeira do Arari, PA";20;17;17
"Caiçara do Norte, RN";6;16;17
"Caiçara do Rio do Vento, RN";7;15;17
"Campina Verde, MG";8;7;17
"Campo Florido, MG";8;13;17
"Campos Altos, MG";NA;16;17
"Camutanga, PE";4;18;17
"Canarana, BA";7;11;17
"Capinzal do Norte, MA";5;5;17
"Carneiros, AL";7;7;17
"Centralina, MG";9;15;17
"Céu Azul, PR";11;13;17
"Chaves, PA";11;22;17
"Cocal de Telha, PI";7;11;17
"Cocal do Sul, SC";14;18;17
"Cocos, BA";18;15;17
"Colorado, PR";11;24;17
"Conceição da Feira, BA";9;16;17
"Conceição do Castelo, ES";11;16;17
"Coronel João Pessoa, RN";4;15;17
"Coronel Murta, MG";10;10;17
"Coronel Vivida, PR";9;19;17
"Cotriguaçu, MT";38;26;17
"Cristianópolis, GO";3;16;17
"Currais, PI";5;11;17
"Curralinhos, PI";18;20;17
"Damolândia, GO";8;14;17
"Delta, MG";14;10;17
"Eirunepé, AM";22;11;17
"Engenheiro Navarro, MG";7;19;17
"Fernando Pedroza, RN";17;13;17
"Frutuoso Gomes, RN";4;10;17
"Goianésia, GO";7;42;17
"Governador Jorge Teixeira, RO";25;22;17
"Gracho Cardoso, SE";4;11;17
"Guapé, MG";11;10;17
"Iapu, MG";20;12;17
"Ibicuí, BA";6;20;17
"Ibirarema, SP";12;12;17
"Igarapava, SP";19;21;17
"Iguape, SP";15;19;17
"Indianópolis, MG";8;19;17
"Ipanema, MG";7;11;17
"Iporanga, SP";12;23;17
"Itaberá, SP";9;15;17
"Itacaré, BA";3;19;17
"Itapororoca, PB";7;16;17
"Itororó, BA";6;21;17
"Ituporanga, SC";5;20;17
"Jaguari, RS";20;20;17
"Jandaia, GO";7;19;17
"Jangada, MT";14;22;17
"Jerumenha, PI";10;15;17
"Júlio Mesquita, SP";7;18;17
"Junco do Maranhão, MA";11;12;17
"Juripiranga, PB";3;5;17
"Lagoa da Confusão, TO";7;20;17
"Lagoa do Mato, MA";10;15;17
"Loanda, PR";11;10;17
"Lucélia, SP";9;15;17
"Luciara, MT";NA;NA;17
"Marizópolis, PB";14;11;17
"Martins, RN";4;16;17
"Mercedes, PR";6;19;17
"Milagres do Maranhão, MA";9;12;17
"Munhoz de Melo, PR";5;9;17
"Muquém de São Francisco, BA";5;14;17
"Muzambinho, MG";5;11;17
"Nerópolis, GO";13;13;17
"Nossa Senhora do Livramento, MT";14;37;17
"Nova Ipixuna, PA";10;17;17
"Nova Prata do Iguaçu, PR";12;21;17
"Nova Prata, RS";5;17;17
"Novo Triunfo, BA";13;15;17
"Nuporanga, SP";5;5;17
"Palmeiras do Tocantins, TO";9;11;17
"Palmelo, GO";8;20;17
"Parari, PB";6;11;17
"Paulino Neves, MA";8;22;17
"Pé de Serra, BA";NA;NA;17
"Pedra do Anta, MG";6;4;17
"Pedra Preta, RN";9;9;17
"Pendências, RN";15;9;17
"Piripá, BA";8;7;17
"Pitangui, MG";9;14;17
"Planalto, RS";9;13;17
"Poço Fundo, MG";4;15;17
"Rafael Jambeiro, BA";26;43;17
"Rio Pomba, MG";9;11;17
"Sabinópolis, MG";9;11;17
"Sanclerlândia, GO";4;18;17
"Santa Amélia, PR";6;19;17
"Santa Cruz da Vitória, BA";21;28;17
"Santa Luz, PI";8;12;17
"Santa Maria Madalena, RJ";22;32;17
"Santa Teresinha, PB";15;17;17
"Santa Tereza de Goiás, GO";7;10;17
"Santo Antônio do Monte, MG";7;20;17
"São Francisco de Assis, RS";20;14;17
"São João Batista, SC";18;24;17
"São José de Caiana, PB";3;14;17
"São José do Bonfim, PB";4;NA;17
"São José do Piauí, PI";4;12;17
"São José dos Ramos, PB";NA;NA;17
"São Luíz do Norte, GO";6;6;17
"São Miguel do Tocantins, TO";10;10;17
"São Sebastião do Tocantins, TO";9;16;17
"Sapucaia, PA";8;18;17
"Serra Preta, BA";4;6;17
"Serrana, SP";9;17;17
"Serranópolis de Minas, MG";8;22;17
"Silves, AM";10;13;17
"Tamboril do Piauí, PI";8;12;17
"Tartarugalzinho, AP";3;16;17
"Teixeira, PB";7;18;17
"Teresina de Goiás, GO";6;9;17
"Umari, CE";6;17;17
"Urucuia, MG";10;13;17
"Várzea, PB";11;22;17
"Venâncio Aires, RS";15;19;17
"Vianópolis, GO";8;9;17
"Virmond, PR";4;18;17
"Águas de Santa Bárbara, SP";9;13;16
"Aloândia, GO";4;4;16
"Alta Floresta D'Oeste, RO";NA;6;16
"Altamira do Maranhão, MA";2;9;16
"Altinópolis, SP";11;14;16
"Amaturá, AM";7;16;16
"Andradas, MG";4;18;16
"Angical, BA";9;14;16
"Araponga, MG";7;10;16
"Araputanga, MT";17;14;16
"Aroazes, PI";20;15;16
"Arraias, TO";11;9;16
"Baependi, MG";6;12;16
"Bagre, PA";13;18;16
"Bandeira, MG";15;13;16
"Bandeirantes do Tocantins, TO";9;10;16
"Barra do Mendes, BA";16;16;16
"Barracão, PR";6;14;16
"Barreiras do Piauí, PI";29;23;16
"Bernardino Batista, PB";6;10;16
"Biritinga, BA";6;15;16
"Bom Jardim de Goiás, GO";5;12;16
"Brasiléia, AC";11;19;16
"Brejo do Cruz, PB";6;14;16
"Brejo do Piauí, PI";9;11;16
"Caatiba, BA";19;13;16
"Cabeceiras, GO";9;10;16
"Cabixi, RO";11;14;16
"Cachoeira dos Índios, PB";NA;NA;16
"Caém, BA";5;11;16
"Cafarnaum, BA";10;12;16
"Cafelândia, PR";11;18;16
"Cajapió, MA";6;15;16
"Cajueiro da Praia, PI";17;13;16
"Caldeirão Grande do Piauí, PI";9;17;16
"Campos Lindos, TO";6;11;16
"Canhoba, SE";23;18;16
"Cantagalo, MG";7;8;16
"Carutapera, MA";4;10;16
"Cedro de São João, SE";11;20;16
"Chiapetta, RS";4;12;16
"Cícero Dantas, BA";5;13;16
"Cláudio, MG";7;15;16
"Clevelândia, PR";14;12;16
"Coité do Nóia, AL";5;20;16
"Conceição do Canindé, PI";7;9;16
"Conceição do Lago-Açu, MA";NA;NA;16
"Cordeiros, BA";21;14;16
"Crixás, GO";12;44;16
"Currais Novos, RN";11;24;16
"Cutias, AP";1;17;16
"Deputado Irapuan Pinheiro, CE";15;11;16
"Diamante do Norte, PR";6;10;16
"Dois Córregos, SP";6;15;16
"Dois Riachos, AL";4;14;16
"Domingos Mourão, PI";4;17;16
"Eliseu Martins, PI";6;6;16
"Espírito Santo do Dourado, MG";6;6;16
"Espumoso, RS";14;11;16
"Ferreiros, PE";6;16;16
"Filadélfia, BA";9;58;16
"Francinópolis, PI";8;10;16
"Francisco Ayres, PI";8;18;16
"Francisco Dantas, RN";6;7;16
"Frei Inocêncio, MG";6;14;16
"Galvão, SC";6;23;16
"Gaurama, RS";7;9;16
"Glória de Dourados, MS";10;13;16
"Governador Archer, MA";30;28;16
"Grandes Rios, PR";10;16;16
"Guará, SP";NA;14;16
"Guiratinga, MT";13;14;16
"Ibitiúra de Minas, MG";4;4;16
"Ielmo Marinho, RN";6;15;16
"Indiara, GO";3;11;16
"Ipiranga, PR";10;14;16
"Irecê, BA";17;20;16
"Itamonte, MG";5;16;16
"Itanhomi, MG";4;12;16
"Itapé, BA";6;7;16
"Itaporã do Tocantins, TO";10;19;16
"Itaquitinga, PE";6;22;16
"Jacaraú, PB";5;7;16
"Japaratinga, AL";10;12;16
"Jaramataia, AL";6;15;16
"Jardim de Piranhas, RN";11;11;16
